__v,_id,active,altNames,createdAt,growthRate24,growthRate48,growthRate72,last24hours,last48hours,metadata.name,metadata.symbol,previousWeek,score,strictNameCheck,thisWeek,week
0,609ac4e8b725d46952390494,true,[],2021-05-11T17:54:48.838Z,200,200,200,2,2,Name,Symbol,0,49.241379310344826,false,2,"[2,0,0,0,0,0,0]"
0,609ac4e9b725d46952390495,true,[],2021-05-11T17:54:49.761Z,7900,7900,7900,79,79,Agilent Technologies Inc. Common Stock,A,0,1945.0344827586207,false,79,"[79,0,0,0,0,0,0]"
0,609ac4ebb725d46952390496,true,[],2021-05-11T17:54:51.011Z,2200,2200,2200,22,22,Alcoa Corporation Common Stock ,AA,0,541.6551724137931,false,22,"[22,0,0,0,0,0,0]"
0,609ac4ebb725d46952390497,true,[],2021-05-11T17:54:51.081Z,500,500,500,5,5,Ares Acquisition Corporation Class A Ordinary Shares,AAC,0,123.10344827586206,false,5,"[5,0,0,0,0,0,0]"
0,609ac4ebb725d46952390498,true,[],2021-05-11T17:54:51.113Z,0,0,0,0,0,Arlington Asset Investment Corp Class A (new),AAIC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ebb725d46952390499,true,[],2021-05-11T17:54:51.167Z,0,0,0,0,0,Arlington Asset Investment Corp 7.00% ,AAIC^B,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049a,true,[],2021-05-11T17:54:51.313Z,0,0,0,0,0,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049b,true,[],2021-05-11T17:54:51.331Z,2100,2100,2100,21,21,Aarons Holdings Company Inc. Common Stock ,AAN,0,517.0344827586207,false,21,"[21,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049c,true,[],2021-05-11T17:54:51.403Z,2400,2400,2400,24,24,Advance Auto Parts Inc Advance Auto Parts Inc W/I,AAP,0,590.8965517241379,false,24,"[24,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049d,true,[],2021-05-11T17:54:51.442Z,0,0,0,0,0,Accelerate Acquisition Corp.,AAQC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049e,true,[],2021-05-11T17:54:51.557Z,100,100,100,1,1,American Assets Trust Inc. Common Stock,AAT,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609ac4ebb725d4695239049f,true,[],2021-05-11T17:54:51.624Z,2600,2600,2600,26,26,AllianceBernstein Holding L.P.  Units,AB,0,640.1379310344828,false,26,"[26,0,0,0,0,0,0]"
0,609ac4ebb725d469523904a0,true,[],2021-05-11T17:54:51.811Z,2300,2300,2300,23,23,ABB Ltd Common Stock,ABB,0,566.2758620689655,false,23,"[23,0,0,0,0,0,0]"
0,609ac4ebb725d469523904a1,true,[],2021-05-11T17:54:51.883Z,300,300,300,3,3,AbbVie Inc. Common Stock,ABBV,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609ac4ebb725d469523904a2,true,[],2021-05-11T17:54:51.933Z,2600,2600,2600,26,26,AmerisourceBergen Corporation Common Stock,ABC,0,640.1379310344828,false,26,"[26,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a3,true,[],2021-05-11T17:54:52.006Z,100,100,100,1,1,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a4,true,[],2021-05-11T17:54:52.117Z,400,400,400,4,4,Asbury Automotive Group Inc Common Stock,ABG,0,98.48275862068965,false,4,"[4,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a5,true,[],2021-05-11T17:54:52.232Z,600,600,600,6,6,ABM Industries Incorporated Common Stock,ABM,0,147.72413793103448,false,6,"[6,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a6,true,[],2021-05-11T17:54:52.320Z,200,200,200,2,2,Arbor Realty Trust Common Stock,ABR,0,49.241379310344826,false,2,"[2,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a7,true,[],2021-05-11T17:54:52.356Z,0,0,0,0,0,Arbor Realty Trust Preferred Series A,ABR^A,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a8,true,[],2021-05-11T17:54:52.395Z,0,0,0,0,0,Arbor Realty Trust Cumulative Redeemable Preferred Series B,ABR^B,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4ecb725d469523904a9,true,[],2021-05-11T17:54:52.457Z,100,100,100,1,1,Arbor Realty Trust Cumulative Redeemable Preferred Series C,ABR^C,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609ac4ecb725d469523904aa,true,[],2021-05-11T17:54:52.516Z,3000,3000,3000,30,30,Abbott Laboratories Common Stock,ABT,0,738.6206896551724,false,30,"[30,0,0,0,0,0,0]"
0,609ac4ecb725d469523904ab,true,[],2021-05-11T17:54:52.610Z,2500,2500,2500,25,25,Associated Capital Group Inc. Common Stock,AC,0,615.5172413793103,false,25,"[25,0,0,0,0,0,0]"
0,609ac4ecb725d469523904ac,true,[],2021-05-11T17:54:52.661Z,500,500,500,5,5,Arcosa Inc. Common Stock ,ACA,0,123.10344827586206,false,5,"[5,0,0,0,0,0,0]"
0,609ac4ecb725d469523904ad,true,[],2021-05-11T17:54:52.730Z,1700,1700,1700,17,17,Aurora Cannabis Inc. Common Shares,ACB,0,418.55172413793105,false,17,"[17,0,0,0,0,0,0]"
0,609ac4ecb725d469523904ae,true,[],2021-05-11T17:54:52.784Z,1600,1600,1600,16,16,American Campus Communities Inc Common Stock,ACC,0,393.9310344827586,false,16,"[16,0,0,0,0,0,0]"
0,609ac4ecb725d469523904af,true,[],2021-05-11T17:54:52.850Z,700,700,700,7,7,Acco Brands Corporation Common Stock,ACCO,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4ecb725d469523904b0,true,[],2021-05-11T17:54:52.890Z,2400,2400,2400,24,24,Accel Entertainment Inc. ,ACEL,0,590.8965517241379,false,24,"[24,0,0,0,0,0,0]"
0,609ac4ecb725d469523904b1,true,[],2021-05-11T17:54:52.948Z,2500,2500,2500,25,25,Aluminum Corporation of China Limited American Depositary Shares,ACH,0,615.5172413793103,false,25,"[25,0,0,0,0,0,0]"
0,609ac4ecb725d469523904b2,true,[],2021-05-11T17:54:52.998Z,700,700,700,7,7,Albertsons Companies Inc. Class A Common Stock,ACI,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4edb725d469523904b3,true,[],2021-05-11T17:54:53.034Z,200,200,200,2,2,Atlas Crest Investment Corp. Class A Common Stock,ACIC,0,49.241379310344826,false,2,"[2,0,0,0,0,0,0]"
0,609ac4edb725d469523904b4,true,[],2021-05-11T17:54:53.187Z,700,700,700,7,7,Atlas Crest Investment Corp. II Class A Common Stock,ACII,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4edb725d469523904b5,true,[],2021-05-11T17:54:53.220Z,700,700,700,7,7,AECOM Common Stock,ACM,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4edb725d469523904b6,true,[],2021-05-11T17:54:53.284Z,2400,2400,2400,24,24,Accenture plc Class A Ordinary Shares (Ireland),ACN,0,590.8965517241379,false,24,"[24,0,0,0,0,0,0]"
0,609ac4edb725d469523904b7,true,[],2021-05-11T17:54:53.311Z,0,0,0,0,0,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,ACND,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4edb725d469523904b8,true,[],2021-05-11T17:54:53.342Z,300,300,300,3,3,Aberdeen Income Credit Strategies Fund Common Shares,ACP,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609ac4edb725d469523904b9,true,[],2021-05-11T17:54:53.376Z,300,300,300,3,3,ACRES Commercial Realty Corp. Common Stock,ACR,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609ac4edb725d469523904ba,true,[],2021-05-11T17:54:53.411Z,0,0,0,0,0,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,ACR^C,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4edb725d469523904bb,true,[],2021-05-11T17:54:53.451Z,2200,2200,2200,22,22,Ares Commercial Real Estate Corporation Common Stock,ACRE,0,541.6551724137931,false,22,"[22,0,0,0,0,0,0]"
0,609ac4edb725d469523904bc,true,[],2021-05-11T17:54:53.504Z,200,200,200,2,2,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,0,49.241379310344826,false,2,"[2,0,0,0,0,0,0]"
0,609ac4edb725d469523904bd,true,[],2021-05-11T17:54:53.570Z,600,600,600,6,6,Agree Realty Corporation Common Stock,ADC,0,147.72413793103448,false,6,"[6,0,0,0,0,0,0]"
0,609ac4edb725d469523904be,true,[],2021-05-11T17:54:53.645Z,0,0,0,0,0,ADC Therapeutics SA Common Shares,ADCT,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4edb725d469523904bf,true,[],2021-05-11T17:54:53.705Z,0,0,0,0,0,Adit EdTech Acquisition Corp. Common Stock,ADEX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4edb725d469523904c0,true,[],2021-05-11T17:54:53.740Z,2900,2900,2900,29,29,Archer-Daniels-Midland Company Common Stock,ADM,0,714,false,29,"[29,0,0,0,0,0,0]"
0,609ac4edb725d469523904c1,true,[],2021-05-11T17:54:53.819Z,200,200,200,2,2,Adient plc Ordinary Shares ,ADNT,0,49.241379310344826,false,2,"[2,0,0,0,0,0,0]"
0,609ac4edb725d469523904c2,true,[],2021-05-11T17:54:53.907Z,2600,2600,2600,26,26,Alliance Data Systems Corporation Common Stock,ADS,0,640.1379310344828,false,26,"[26,0,0,0,0,0,0]"
0,609ac4edb725d469523904c3,true,[],2021-05-11T17:54:53.941Z,300,300,300,3,3,ADT Inc. Common Stock,ADT,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609ac4edb725d469523904c4,true,[],2021-05-11T17:54:53.981Z,800,800,800,8,8,Adams Diversified Equity Fund Inc.,ADX,0,196.9655172413793,false,8,"[8,0,0,0,0,0,0]"
0,609ac4eeb725d469523904c5,true,[],2021-05-11T17:54:54.025Z,700,700,700,7,7,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),AEB,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4eeb725d469523904c6,true,[],2021-05-11T17:54:54.106Z,700,700,700,7,7,Ameren Corporation Common Stock,AEE,0,172.3448275862069,false,7,"[7,0,0,0,0,0,0]"
0,609ac4eeb725d469523904c7,true,[],2021-05-11T17:54:54.152Z,0,0,0,0,0,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4eeb725d469523904c8,true,[],2021-05-11T17:54:54.184Z,1200,1200,1200,12,12,AEGON N.V. Common Stock,AEG,0,295.44827586206895,false,12,"[12,0,0,0,0,0,0]"
0,609ac4eeb725d469523904c9,true,[],2021-05-11T17:54:54.211Z,0,0,0,0,0,American Equity Investment Life Holding Company Common Stock,AEL,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4eeb725d469523904ca,true,[],2021-05-11T17:54:54.260Z,0,0,0,0,0,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4eeb725d469523904cb,true,[],2021-05-11T17:54:54.306Z,0,0,0,0,0,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4eeb725d469523904cc,true,[],2021-05-11T17:54:54.338Z,1400,1400,1400,14,14,Agnico Eagle Mines Limited Common Stock,AEM,0,344.6896551724138,false,14,"[14,0,0,0,0,0,0]"
0,609ac4eeb725d469523904cd,true,[],2021-05-11T17:54:54.381Z,0,0,0,0,0,Aenza S.A.A. American Depositary Shares,AENZ,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609ac4eeb725d469523904ce,true,[],2021-05-11T17:54:54.424Z,1100,1100,1100,11,11,American Eagle Outfitters Inc. Common Stock,AEO,0,270.82758620689657,false,11,"[11,0,0,0,0,0,0]"
0,609ac4eeb725d469523904cf,true,[],2021-05-11T17:54:54.458Z,900,900,900,9,9,AerCap Holdings N.V. Ordinary Shares,AER,0,221.58620689655172,false,9,"[9,0,0,0,0,0,0]"
0,609ac4eeb725d469523904d0,true,[],2021-05-11T17:54:54.485Z,2500,2500,2500,25,25,The AES Corporation Common Stock,AES,0,615.5172413793103,false,25,"[25,0,0,0,0,0,0]"
